surveillance,layout,span_km,rotation_deg,target_points,inside_hull_fraction,condition_median,condition_p90,condition_p95,all4_visible_300km_fraction,all4_visible_350km_fraction,geometry_good_fraction,mc_p95_0_1us_median_m,mc_p95_0_1us_p90_m,mc_p95_0_25us_median_m,mc_p95_0_25us_p90_m,mc_p95_0_5us_median_m,mc_p95_0_5us_p90_m,mc_p95_1_0us_median_m,mc_p95_1_0us_p90_m,deployment_score_300,deployment_score_350,remote_branch_separation_median_us,remote_branch_separation_p10_us,remote_branch_below_0_5us_fraction
specified_polygon,square,50,135,232,0.021551724137931036,18.661443110979384,59.71671749430849,71.91395809666271,1.0,1.0,0.05603448275862069,3711.829976691637,14930.873655564614,9279.574941729094,37327.184138911536,18559.149883458187,74654.36827782307,37118.299766916374,149308.73655564614,0.05313614744351962,0.05313614744351962,2.9013953243993953,1.0000925849767028,0.05172413793103448
specified_polygon,square,100,165,232,0.05603448275862069,9.072307886476386,14.300828008226038,16.055256531745133,0.9956896551724138,1.0,0.22413793103448276,910.7522625866211,1900.9251493646057,2276.880656466553,4752.312873411516,4553.761312933106,9504.625746823032,9107.522625866211,19009.251493646065,0.2231718192627824,0.22413793103448276,8.547694212111018,4.421028082062507,0.0
specified_polygon,square,150,45,232,0.10775862068965517,6.037949393641522,11.186749315853081,12.849370895453312,0.9913793103448276,1.0,0.5,400.1296969005215,1028.0721422555207,1000.3242422513038,2570.1803556388018,2000.6484845026075,5140.3607112776035,4001.296969005215,10280.721422555207,0.4956896551724138,0.5,18.224788342999936,7.06807610180237,0.0
specified_polygon,square,200,30,232,0.21120689655172414,4.0625631274436,7.614328673613519,8.310516016722172,0.978448275862069,1.0,0.8232758620689655,200.08799187643217,516.7603092437548,500.2199796910804,1291.900773109387,1000.4399593821609,2583.801546218774,2000.8799187643217,5167.603092437548,0.8055328478002378,0.8232758620689655,31.683793383394704,12.73221629907106,0.0
specified_polygon,square,250,45,232,0.36637931034482757,2.343761610753775,5.214807223903366,5.7863582658106445,0.9310344827586207,0.9956896551724138,0.9741379310344828,97.97048174005572,287.4937570611958,244.9262043501393,718.7343926529896,489.8524087002786,1437.4687853059793,979.7048174005572,2874.9375706119586,0.9069560047562425,0.9699390606420928,48.40204414895294,21.844381879660677,0.0
specified_polygon,square,300,30,232,0.4827586206896552,1.7628454590602078,3.588595776432812,3.991456117280976,0.8103448275862069,0.9870689655172413,1.0,69.11491038473952,163.4885032741895,172.7872759618488,408.7212581854737,345.5745519236976,817.4425163709474,691.1491038473952,1634.8850327418947,0.8103448275862069,0.9870689655172413,67.51582358588108,33.99984522237887,0.0
specified_polygon,square,400,45,232,0.7931034482758621,1.387984837950432,2.1689443693453234,2.4683118612346036,0.3577586206896552,0.8491379310344828,1.0,58.050469883772905,88.60317890660093,145.12617470943226,221.5079472665023,290.2523494188645,443.0158945330046,580.504698837729,886.0317890660092,0.3577586206896552,0.8491379310344828,83.79675480295025,54.178158225690986,0.0
specified_polygon,square,500,75,232,0.9956896551724138,1.2364625443330872,1.4820881188058042,1.5500235837371434,0.09913793103448276,0.40086206896551724,1.0,54.741404142637336,61.21993141944327,136.85351035659335,153.0498285486082,273.7070207131867,306.0996570972164,547.4140414263734,612.1993141944328,0.09913793103448276,0.40086206896551724,97.69307614369899,92.88900371995202,0.0
specified_polygon,diamond,50,90,232,0.021551724137931036,18.661443110979388,59.71671749430851,71.91395809666326,1.0,1.0,0.05603448275862069,3711.829976691627,15316.434078698056,9279.574941729068,38291.08519674514,18559.149883458136,76582.17039349028,37118.29976691627,153164.34078698055,0.05313614744351962,0.05313614744351962,2.9013953243993953,1.0000925849767028,0.05172413793103448
specified_polygon,diamond,100,60,232,0.05603448275862069,9.149216370336966,17.503274739280712,21.539410791767537,1.0,1.0,0.22413793103448276,910.7522625866042,2377.829212352733,2276.88065646651,5944.573030881831,4553.76131293302,11889.146061763662,9107.52262586604,23778.292123527324,0.22413793103448276,0.22413793103448276,8.522350483404502,3.462589998916406,0.0
specified_polygon,diamond,150,90,232,0.10775862068965517,6.03794939364152,11.18674931585309,12.849370895453301,0.9913793103448276,1.0,0.5,402.13526451009693,1033.244607649982,1005.3381612752423,2583.111519124955,2010.6763225504847,5166.22303824991,4021.3526451009693,10332.44607649982,0.4956896551724138,0.5,18.224788342999936,7.06807610180237,0.0
specified_polygon,diamond,200,105,232,0.21120689655172414,4.062563127443646,6.962071153902649,8.044116306974777,0.9698275862068966,1.0,0.8232758620689655,201.41752626435016,512.6182326164677,503.5438156608754,1281.5455815411694,1007.0876313217508,2563.091163082339,2014.1752626435016,5126.182326164678,0.7984356420927468,0.8232758620689655,31.683793383393628,12.899727396319086,0.0
specified_polygon,diamond,250,75,232,0.33189655172413796,2.3791673309936847,5.400411844481832,5.6603893772657266,0.9310344827586207,0.9956896551724138,0.9741379310344828,99.38664848030979,292.2237424258799,248.46662120077448,730.5593560646998,496.93324240154897,1461.1187121293997,993.8664848030979,2922.2374242587994,0.9069560047562425,0.9699390606420928,53.682204404955314,21.206517266778622,0.0
specified_polygon,diamond,300,165,232,0.4827586206896552,1.7628454590602076,3.588595776432811,3.991456117280977,0.8103448275862069,0.9870689655172413,1.0,70.32907507104011,166.47160335374082,175.8226876776003,416.179008384352,351.6453753552006,832.358016768704,703.2907507104012,1664.716033537408,0.8103448275862069,0.9870689655172413,67.51582358588108,33.99984522237887,0.0
specified_polygon,diamond,400,90,232,0.7931034482758621,1.3879848379504325,2.1689443693453225,2.4683118612346036,0.3577586206896552,0.8491379310344828,1.0,58.06756372419294,86.8070373291349,145.16890931048232,217.01759332283723,290.33781862096464,434.03518664567446,580.6756372419293,868.0703732913489,0.3577586206896552,0.8491379310344828,83.79675480295023,54.178158225690986,0.0
specified_polygon,diamond,500,120,232,0.9956896551724138,1.2364625443330879,1.4820881188057988,1.5500235837371474,0.09913793103448276,0.40086206896551724,1.0,54.75666755573468,61.3633706827198,136.8916688893367,153.40842670679947,273.7833377786734,306.81685341359895,547.5666755573468,613.6337068271979,0.09913793103448276,0.40086206896551724,97.69307614369907,92.88900371995193,0.0
specified_polygon,rectangle_2to1,50,0,232,0.01293103448275862,23.226871574264045,43.029385665558145,55.130157219091984,1.0,1.0,0.04741379310344827,4901.037253470518,11066.633108836471,12252.593133676297,27666.58277209118,24505.186267352594,55333.16554418236,49010.37253470519,110666.33108836472,0.04659631391200951,0.04659631391200951,2.5693297823494308,0.9636090135723819,0.017241379310344827
specified_polygon,rectangle_2to1,100,135,232,0.04741379310344827,11.877315144933501,27.929994491981432,31.289615296193517,1.0,1.0,0.1939655172413793,1161.681004404405,3823.64788448819,2904.2025110110126,9559.119711220472,5808.405022022025,19118.239422440944,11616.81004404405,38236.47884488189,0.1939655172413793,0.1939655172413793,7.9099344475655595,3.1173132020217746,0.0
specified_polygon,rectangle_2to1,150,165,232,0.09913793103448276,7.553892310140308,11.430744349362794,12.500326448894196,0.9913793103448276,1.0,0.40086206896551724,511.03392511523555,1028.3218931629858,1277.5848127880888,2570.8047329074648,2555.1696255761776,5141.6094658149295,5110.339251152355,10283.218931629859,0.3974063614744352,0.40086206896551724,16.47110009406585,6.873103536121866,0.0
specified_polygon,rectangle_2to1,200,45,232,0.1939655172413793,5.375555524762241,8.597983495178473,10.161849180494926,0.9698275862068966,1.0,0.7025862068965517,289.3599523039818,664.9811495677823,723.3998807599546,1662.4528739194561,1446.7997615199092,3324.9057478389122,2893.5995230398185,6649.8114956778245,0.681387485136742,0.7025862068965517,25.431336483561836,11.654781131226116,0.0
specified_polygon,rectangle_2to1,250,45,232,0.22844827586206898,3.2969801962626764,6.514002781926541,7.2902113990082995,0.9094827586206896,0.9913793103448276,0.9181034482758621,146.41855178381326,385.13096789338806,366.0463794595332,962.8274197334699,732.0927589190665,1925.6548394669398,1464.185517838133,3851.3096789338797,0.8349992568370986,0.9101887633769323,41.15372598811649,19.344669766493013,0.0
specified_polygon,rectangle_2to1,300,120,232,0.3879310344827586,2.5145403624651985,5.363310307951126,6.057131252043871,0.875,1.0,0.9870689655172413,94.74297507513214,252.18778161206095,236.85743768783033,630.4694540301524,473.71487537566065,1260.9389080603048,947.4297507513213,2521.8778161206096,0.8636853448275862,0.9870689655172413,56.149535101308956,24.871406303247305,0.0
specified_polygon,rectangle_2to1,400,120,232,0.5862068965517241,2.123435292965156,3.693768162129719,4.1130998255729025,0.4267241379310345,0.8836206896551724,1.0,77.19625001740718,147.1254870744866,192.99062504351792,367.8137176862166,385.98125008703585,735.6274353724332,771.9625001740717,1471.2548707448664,0.4267241379310345,0.8836206896551724,66.28885238745212,39.86546093706077,0.0
specified_polygon,rectangle_2to1,500,15,232,0.8060344827586207,1.9895900570881808,2.568311642972109,2.717718248422785,0.125,0.45689655172413796,1.0,71.16450830560646,92.33310899000922,177.91127076401614,230.8327724750231,355.8225415280323,461.6655449500462,711.6450830560645,923.3310899000924,0.125,0.45689655172413796,87.78913270037114,79.10588245839355,0.0
specified_polygon,triangle_center,50,60,232,0.008620689655172414,16.470112516923507,25.44485879248672,28.82329625127457,1.0,1.0,0.07758620689655173,3398.621528041495,7519.673503811815,8496.553820103738,18799.18375952954,16993.107640207476,37598.36751905908,33986.21528041495,75196.73503811816,0.07758620689655173,0.07758620689655173,3.373418148970743,1.4326853807060536,0.0
specified_polygon,triangle_center,100,30,232,0.05172413793103448,7.6364204108746705,13.796462324873833,15.556377998031268,0.9956896551724138,1.0,0.2974137931034483,760.1284399234632,1958.4189754203396,1900.3210998086577,4896.04743855085,3800.6421996173153,9792.0948771017,7601.284399234631,19584.1897542034,0.29613183709869206,0.2974137931034483,10.080728975783927,4.533263589632733,0.0
specified_polygon,triangle_center,150,60,232,0.11637931034482758,4.170508710639849,8.74300262606008,9.455656596385285,0.978448275862069,1.0,0.6594827586206896,270.07740719442063,848.5690687036832,675.1935179860516,2121.4226717592087,1350.3870359721031,4242.845343518417,2700.7740719442063,8485.690687036835,0.6452697681331747,0.6594827586206896,23.87514506925402,9.387148330408635,0.0
specified_polygon,triangle_center,200,45,232,0.1939655172413793,2.781938935652344,5.593828938239159,6.472390311383269,0.9396551724137931,0.9956896551724138,0.9008620689655172,133.7818010747106,399.0045306464597,334.45450268677644,997.5113266161494,668.9090053735529,1995.0226532322988,1337.8180107471057,3990.0453064645976,0.8464997027348395,0.8969790428061831,44.414106897406036,16.95721529201237,0.0
specified_polygon,triangle_center,250,165,232,0.3103448275862069,2.1498396841306353,3.438086294826679,3.79826447136543,0.8275862068965517,0.978448275862069,0.9956896551724138,88.46710466658051,183.5995556571599,221.16776166645127,458.99888914289977,442.33552333290254,917.9977782857995,884.6710466658051,1835.995556571599,0.8240190249702735,0.9742308263971463,58.70415831900638,29.038198813164374,0.0
specified_polygon,triangle_center,300,105,232,0.4353448275862069,1.8995019047584698,2.751722600351055,3.4054742231296586,0.6810344827586207,0.9612068965517241,0.9741379310344828,73.96945178169386,130.31742235047903,184.92362945423466,325.7935558761976,369.8472589084693,651.5871117523952,739.6945178169386,1303.1742235047905,0.6634215219976218,0.9363480975029727,70.35366059748739,46.058582191410466,0.0
specified_polygon,triangle_center,400,105,232,0.6939655172413793,1.6083818327538786,2.0397344816632184,2.1729515625990237,0.21120689655172414,0.6379310344827587,1.0,64.30017635912182,81.6260988207348,160.75044089780457,204.06524705183702,321.50088179560913,408.13049410367404,643.0017635912183,816.2609882073481,0.21120689655172414,0.6379310344827587,81.12604896801538,67.76598471345343,0.0
specified_polygon,triangle_center,500,75,232,0.8663793103448276,1.468304243442773,1.7863725289707273,1.8788227895404712,0.004310344827586207,0.1896551724137931,1.0,60.54307128905166,70.44321640257715,151.35767822262915,176.10804100644282,302.7153564452583,352.21608201288564,605.4307128905166,704.4321640257713,0.004310344827586207,0.1896551724137931,86.98830491758807,68.63756697273139,0.0
specified_polygon,irregular,50,30,232,0.004310344827586207,20.54151423440812,40.34161220810534,49.74614884861329,1.0,1.0,0.04741379310344827,4411.910506385055,11315.632077429254,11029.776265962635,28289.080193573136,22059.55253192527,56578.16038714627,44119.10506385054,113156.32077429254,0.04741379310344827,0.04741379310344827,2.643644160815526,1.0562550252924234,0.0
specified_polygon,irregular,100,75,232,0.05172413793103448,10.066389795444827,21.314749518019333,28.433252183096744,1.0,1.0,0.20689655172413793,1033.2155986670232,3254.7189746842987,2583.038996667558,8136.797436710748,5166.077993335116,16273.594873421496,10332.155986670232,32547.189746842992,0.20689655172413793,0.20689655172413793,8.549651961567415,3.054379802213138,0.0
specified_polygon,irregular,150,75,232,0.10344827586206896,6.427522748931651,12.319840781013983,14.949633298475227,0.9956896551724138,1.0,0.4482758620689655,464.21139902342367,1245.862225489001,1160.5284975585591,3114.6555637225024,2321.0569951171183,6229.311127445005,4642.113990234237,12458.62225489001,0.4463436385255648,0.4482758620689655,16.72923652537389,7.0811992822717515,0.0
specified_polygon,irregular,200,150,232,0.1810344827586207,4.406150748058588,7.76584444754071,8.84668409338326,0.9827586206896551,1.0,0.771551724137931,234.344664880054,575.3782866481181,585.861662200135,1438.4457166202958,1171.72332440027,2876.8914332405916,2343.44664880054,5753.782866481183,0.7582491082045184,0.771551724137931,29.543811001201057,13.083255066778174,0.0
