candidate_lat,candidate_lon,nearest_existing_km,best4_median_hrmse_0_25us_m,best4_p90_hrmse_0_25us_m,worst4_p90_hrmse_0_25us_m,full5_p90_hrmse_0_25us_m,best4_under_1km_fraction,inside_5rx_hull_fraction,four_visible_350km_fraction,five_visible_350km_fraction,is_mongcai,composite_score
18.3,108.9,238.21232658496487,125.01874846462904,376.95641613808664,2709.623723318599,367.9351358436166,0.9849624060150376,0.3082706766917293,0.7418546365914787,0.40100250626566414,False,77.74480712166172
18.0,108.9,267.35370095831433,121.62160169517887,380.52013067536,2504.4060341806253,366.0155811947855,0.9849624060150376,0.3233082706766917,0.7243107769423559,0.3609022556390977,False,77.44807121661721
17.7,108.3,277.15096919440737,131.2483270207618,400.9821354249285,2141.3525994119254,387.05764635503397,0.9799498746867168,0.2957393483709273,0.7218045112781954,0.37844611528822053,False,76.89910979228488
18.0,109.2,283.3040722660266,120.3632585212139,378.8698805404324,2753.377234692009,369.8189341696548,0.9924812030075187,0.3358395989974937,0.7218045112781954,0.3157894736842105,False,76.89910979228488
17.7,108.9,297.38224069906715,120.09877643483533,383.8063951880874,2434.1291362184124,368.225442243539,0.9849624060150376,0.3433583959899749,0.7167919799498746,0.3107769423558897,False,76.88427299703264
17.7,108.6,285.7075446042187,123.47050436477248,391.33334198093837,2309.7947827182124,375.48038452613616,0.9824561403508771,0.3182957393483709,0.7192982456140351,0.3483709273182957,False,76.82492581602374
18.0,108.6,254.32763712599876,124.93953523069604,383.9464699142864,2393.0338471018076,370.80528789532013,0.9799498746867168,0.3007518796992481,0.7268170426065163,0.39598997493734334,False,76.81008902077151
17.7,109.2,311.8249961325314,117.56669343167918,376.86366441957057,2481.3592079356968,368.79874082727434,0.9949874686716792,0.3583959899749373,0.706766917293233,0.2807017543859649,False,76.48367952522256
17.4,109.2,341.2236909166709,118.27649270059136,383.82107337474946,2409.05401940321,370.194195483405,0.9974937343358395,0.3684210526315789,0.7017543859649122,0.23558897243107768,False,76.24629080118693
18.3,109.2,255.95451698259342,122.5002187599383,380.4479387602524,2986.089229846703,370.3686166317808,0.9899749373433584,0.3157894736842105,0.731829573934837,0.3609022556390977,False,76.03857566765578
17.4,109.5,356.71022232957904,117.03081236870807,380.1555880111361,2574.316003470358,369.17034763449607,0.9974937343358395,0.37343358395989973,0.6967418546365914,0.20551378446115287,False,75.78635014836796
18.0,108.3,244.6933877851142,133.8401519898821,396.57654419621656,2265.438186392945,383.28528845418106,0.9774436090225563,0.2731829573934837,0.7293233082706767,0.43358395989974935,False,75.72700296735906
18.3,108.6,223.5211900743486,129.97219627225016,385.82031381581834,2508.012626900342,370.6956752819897,0.974937343358396,0.2832080200501253,0.7468671679197995,0.44360902255639095,False,75.53412462908011
18.3,109.5,276.16028504666343,120.92420121196847,376.8657255801794,3283.7796980611793,368.99795326083154,0.9899749373433584,0.3233082706766917,0.7268170426065163,0.3132832080200501,False,75.13353115727003
17.7,109.5,328.6710651367261,117.3649031449578,380.4447067738377,2735.173433931974,368.5767254433912,0.9974937343358395,0.3583959899749373,0.7042606516290727,0.24060150375939848,False,75.04451038575668
17.4,108.6,317.490920342238,124.36770094849064,398.7554664144961,2214.062485162445,386.2857041755758,0.9849624060150376,0.3208020050125313,0.706766917293233,0.2982456140350877,False,74.91097922848665
