area_size_km,layout,span_km,span_area_ratio,rotation_deg,target_points,inside_hull_fraction,condition_median,condition_p90,condition_p95,all4_visible_300km_fraction,all4_visible_350km_fraction,geometry_good_fraction,mc_p95_0_1us_median_m,mc_p95_0_1us_p90_m,mc_p95_0_25us_median_m,mc_p95_0_25us_p90_m,mc_p95_0_5us_median_m,mc_p95_0_5us_p90_m,mc_p95_1_0us_median_m,mc_p95_1_0us_p90_m,deployment_score_300,deployment_score_350,remote_branch_separation_median_us,remote_branch_separation_p10_us,remote_branch_below_0_5us_fraction
100,square,50,0.5,165,121,0.10743801652892562,6.553015666175341,9.763316061517076,11.01165142124258,1.0,1.0,0.4380165289256198,501.8106430250102,878.3434841374955,1254.5266075625254,2195.858710343739,2509.053215125051,4391.717420687478,5018.106430250102,8783.434841374956,0.4380165289256198,0.4380165289256198,22.605564115359943,8.918970174379366,0.0
100,square,100,1.0,45,121,0.5041322314049587,1.7302907507010188,3.390498500074908,3.8558827703348926,1.0,1.0,1.0,82.53166442000234,162.8743510370639,206.3291610500059,407.18587759265966,412.6583221000118,814.3717551853193,825.3166442000236,1628.7435103706387,1.0,1.0,68.42419686142289,43.72551377865563,0.0
100,square,150,1.5,0,121,1.0,1.357338386619579,1.6329670317754303,1.6377132606131348,1.0,1.0,1.0,57.26262850800991,65.67728282788998,143.15657127002476,164.19320706972496,286.3131425400495,328.3864141394499,572.626285080099,656.7728282788999,1.0,1.0,98.16894609371124,91.13300406741809,0.0
100,square,200,2.0,90,121,1.0,1.1952183534945977,1.3283697718999516,1.3371102097368082,1.0,1.0,1.0,53.818860232781056,57.088512078455366,134.54715058195262,142.7212801961384,269.09430116390524,285.4425603922768,538.1886023278105,570.8851207845536,1.0,1.0,103.07260654741557,97.50968143544559,0.0
100,square,250,2.5,0,121,1.0,1.1249880747728487,1.2063905128098198,1.212945554103878,1.0,1.0,1.0,52.83380368156559,54.98685176100861,132.08450920391397,137.4671294025215,264.16901840782793,274.934258805043,528.3380368156559,549.868517610086,1.0,1.0,105.04741496492542,101.12820389253977,0.0
100,square,300,3.0,90,121,1.0,1.0860186800809684,1.1407438536407204,1.1486545901832748,1.0,1.0,1.0,52.43595542939367,53.8494418378066,131.0898885734842,134.6236045945165,262.1797771469684,269.247209189033,524.3595542939368,538.494418378066,1.0,1.0,106.14100499377919,103.28571811185859,0.0
100,square,400,4.0,75,121,1.0,1.0474794986219138,1.0942440030917135,1.104382770679261,1.0,1.0,1.0,52.03314802196233,53.00715299075595,130.08287005490584,132.51788247688987,260.1657401098117,265.03576495377973,520.3314802196234,530.0715299075595,1.0,1.0,107.26985003389098,106.2169216779122,0.0
100,square,500,5.0,0,121,1.0,1.0290731876754384,1.0536331396580518,1.0550772409330784,0.7355371900826446,1.0,1.0,51.88865807569369,52.66733102859986,129.72164518923427,131.66832757149965,259.44329037846853,263.3366551429993,518.8865807569371,526.6733102859986,0.7355371900826446,1.0,107.76169576882643,106.67233569035797,0.0
100,diamond,50,0.5,60,121,0.10743801652892562,6.553015666175423,9.763316061517756,11.011651421242814,1.0,1.0,0.4380165289256198,501.81064302498874,878.3434841375218,1254.5266075624718,2195.8587103438044,2509.0532151249436,4391.717420687609,5018.106430249887,8783.434841375218,0.4380165289256198,0.4380165289256198,22.605564115359634,8.918970174379195,0.0
100,diamond,100,1.0,90,121,0.5041322314049587,1.7302907507010192,3.390498500074905,3.8558827703348904,1.0,1.0,1.0,82.75648934162552,163.08879762602487,206.8912233540638,407.72199406506223,413.7824467081276,815.4439881301245,827.5648934162552,1630.887976260249,1.0,1.0,68.42419686142289,43.72551377865563,0.0
100,diamond,150,1.5,135,121,1.0,1.357338386619579,1.6329670317754301,1.6377132606131348,1.0,1.0,1.0,57.319755167087884,65.68854816415785,143.29938791771968,164.2213704103946,286.59877583543937,328.4427408207892,573.1975516708787,656.8854816415784,1.0,1.0,98.16894609371124,91.13300406741809,0.0
100,diamond,200,2.0,45,121,1.0,1.195218353494598,1.3283697718999514,1.337110209736808,1.0,1.0,1.0,53.77490928555332,57.05712780026968,134.43727321388332,142.64281950067422,268.87454642776663,285.28563900134844,537.7490928555333,570.5712780026969,1.0,1.0,103.07260654741556,97.50968143544559,0.0
100,diamond,250,2.5,150,121,1.0,1.1204122421964566,1.2481847281776999,1.2776859079819345,1.0,1.0,1.0,52.84496894955181,54.98699024623502,132.1124223738795,137.46747561558752,264.224844747759,274.93495123117503,528.449689495518,549.8699024623501,1.0,1.0,104.89460113389335,102.42024442275765,0.0
100,diamond,300,3.0,135,121,1.0,1.0860186800809681,1.1407438536407206,1.1486545901832748,1.0,1.0,1.0,52.43595542939365,53.84944183780652,131.08988857348413,134.6236045945163,262.17977714696826,269.2472091890326,524.3595542939365,538.4944183780652,1.0,1.0,106.14100499377919,103.28571811185859,0.0
100,diamond,400,4.0,150,121,1.0,1.0474794986219131,1.094244003091715,1.1043827706792584,1.0,1.0,1.0,52.03314802196235,53.00715299075593,130.08287005490587,132.5178824768898,260.16574010981174,265.0357649537796,520.3314802196235,530.0715299075592,1.0,1.0,107.26985003389031,106.21692167791193,0.0
100,diamond,500,5.0,150,121,1.0,1.0305115259566546,1.0586083047414356,1.066549317216172,0.7520661157024794,1.0,1.0,51.86914775385018,52.71383937853932,129.67286938462544,131.78459844634827,259.3457387692509,263.56919689269654,518.6914775385018,527.1383937853931,0.7520661157024794,1.0,107.77249232317624,107.09702133085909,0.0
100,rectangle_2to1,50,0.5,90,121,0.12396694214876033,8.142107241263906,11.697739588389027,12.780522193950278,1.0,1.0,0.35537190082644626,614.3776640190412,1072.9160116390121,1535.944160047603,2682.2900290975304,3071.888320095206,5364.580058195061,6143.776640190412,10729.160116390121,0.35537190082644626,0.35537190082644626,18.558832140695866,7.249335796889141,0.0
100,rectangle_2to1,100,1.0,45,121,0.371900826446281,2.7267954191755006,4.835263300238368,5.306230996903174,1.0,1.0,1.0,111.91200699505579,229.95423519556385,279.7800174876395,574.8855879889097,559.560034975279,1149.7711759778194,1119.120069950558,2299.542351955639,1.0,1.0,50.60395485523571,32.51387748284167,0.0
100,rectangle_2to1,150,1.5,60,121,0.6528925619834711,2.0668050684175534,3.1357544774052837,3.400379020263828,1.0,1.0,1.0,72.88973262602073,119.36130120562132,182.22433156505184,298.4032530140533,364.4486631301037,596.8065060281066,728.8973262602074,1193.6130120562132,1.0,1.0,68.86117772440933,55.3400272604833,0.0
100,rectangle_2to1,200,2.0,105,121,0.8347107438016529,2.001490951560588,2.491044964397631,2.641543922789597,1.0,1.0,1.0,71.49114719725648,90.85485977001184,178.72786799314122,227.1371494250296,357.45573598628243,454.2742988500592,714.9114719725649,908.5485977001184,1.0,1.0,74.75259312242892,65.3693971032885,0.0
100,rectangle_2to1,250,2.5,90,121,1.0,1.9917897743325643,2.2582918446874864,2.312272303689444,1.0,1.0,1.0,71.16203220410881,81.20505066395961,177.90508051027203,203.012626659899,355.81016102054406,406.025253319798,711.6203220410881,812.050506639596,1.0,1.0,72.2464966886421,67.70478010679835,0.0
100,rectangle_2to1,300,3.0,90,121,1.0,1.99125423004318,2.160074881271646,2.208155204385178,1.0,1.0,1.0,70.5726194460379,77.0087667812274,176.43154861509475,192.52191695306848,352.8630972301895,385.04383390613697,705.726194460379,770.0876678122739,1.0,1.0,72.61209136257405,69.40355837800708,0.0
100,rectangle_2to1,400,4.0,90,121,1.0,1.9889723356972866,2.080828335489304,2.11103037680647,1.0,1.0,1.0,70.38751196682792,73.8913618374231,175.96877991706975,184.72840459355774,351.9375598341395,369.4568091871155,703.875119668279,738.913618374231,1.0,1.0,72.98523607911598,71.0637447468871,0.0
100,rectangle_2to1,500,5.0,90,121,1.0,1.9901886962338637,2.0490914807256413,2.0684799386245474,0.768595041322314,1.0,1.0,70.18513916710265,72.42946719489939,175.46284791775662,181.07366798724843,350.92569583551324,362.14733597449685,701.8513916710265,724.2946719489937,0.768595041322314,1.0,73.12488369782794,71.81259408211866,0.0
100,triangle_center,50,0.5,15,121,0.09917355371900827,4.552735551563941,9.904790583112227,10.48969121422503,1.0,1.0,0.5867768595041323,317.97809156398154,1097.2855912649707,794.9452289099538,2743.213978162427,1589.8904578199076,5486.427956324854,3179.7809156398152,10972.855912649708,0.5867768595041323,0.5867768595041323,29.198587256175504,11.551711231713307,0.0
